customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,unlimited_data,churn
1,52,103.26832236200512,4644.611625079543,Two year,Mailed check,Yes,Female,1,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No internet service,0
2,15,40.082875017492086,4832.90070939481,Two year,Mailed check,No,Male,1,Yes,No,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,No,0
3,72,65.20437765798016,284.4504701873608,One year,Electronic check,No,Male,1,No,Yes,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No internet service,Yes,0
4,61,89.18468799459681,1512.783553868854,One year,Bank transfer,Yes,Female,1,No,Yes,No,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,No internet service,0
5,21,83.7392497935135,4459.0378126666,One year,Electronic check,Yes,Male,1,Yes,No,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,Yes,No,Yes,0
6,24,91.63544828740869,3281.7452120764433,One year,Electronic check,No,Female,0,Yes,Yes,Yes,No,No,No,No,Yes,No,No internet service,Yes,No,0
7,3,42.42583831512317,1601.29873470927,Month-to-month,Credit card,No,Female,1,Yes,Yes,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,No,1
8,22,29.843470904498975,6204.083005426942,Two year,Bank transfer,Yes,Male,0,Yes,No,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,No internet service,0
9,53,111.68065780747764,3963.0595573622245,Two year,Bank transfer,No,Male,1,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,No,0
10,2,76.01718955673584,2548.787824698108,Month-to-month,Bank transfer,No,Female,0,No,Yes,No,No,No,No internet service,No,No,Yes,No internet service,No,No internet service,1
11,30,35.38259245074109,1377.2510366843928,One year,Mailed check,No,Male,0,No,No,No,No,No,Yes,No internet service,No,Yes,Yes,No,No internet service,0
12,38,99.34365818873616,4928.190566053884,Two year,Mailed check,Yes,Female,0,No,Yes,Yes,No,No,No,Yes,Yes,No internet service,Yes,Yes,No internet service,0
13,2,111.49299366292826,5363.464291024829,Month-to-month,Mailed check,No,Male,0,No,No,No,No phone service,No,Yes,No,Yes,Yes,No internet service,No,No,1
14,64,36.9563518571109,5389.818010959052,Month-to-month,Electronic check,No,Male,1,No,No,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,Yes,Yes,0
15,60,101.74124552691106,1840.270146280752,One year,Bank transfer,Yes,Female,0,Yes,Yes,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,Yes,Yes,0
16,21,113.32250613191283,4803.1734170565815,One year,Bank transfer,No,Female,1,No,Yes,No,No,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,No,0
17,33,113.83616002960173,7252.711072381577,Two year,Electronic check,Yes,Female,1,Yes,No,No,No phone service,No,No internet service,Yes,Yes,Yes,Yes,No internet service,No internet service,0
18,58,111.41564616535011,2890.1820460276012,Two year,Mailed check,Yes,Female,0,No,Yes,Yes,No phone service,DSL,No,No internet service,No internet service,No,Yes,No,No,0
19,22,74.64210123601028,1765.0587678705683,One year,Credit card,Yes,Male,0,No,Yes,No,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,No,0
20,49,55.621131725386924,6199.98117656402,Two year,Bank transfer,Yes,Female,1,No,No,No,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,No internet service,0
21,59,20.727280769400927,1497.375227259666,One year,Electronic check,No,Male,1,Yes,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,No internet service,0
22,42,26.091222687152708,2104.614891119646,Month-to-month,Mailed check,Yes,Female,1,No,No,No,No,DSL,No,No,Yes,No internet service,Yes,Yes,No,0
23,60,62.88390152973906,895.0907150645036,Month-to-month,Electronic check,No,Male,0,Yes,No,No,No phone service,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,No internet service,1
24,15,59.93261463915103,2216.2070969898873,Month-to-month,Credit card,Yes,Male,1,No,No,No,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,No,0
25,62,38.471390956988316,3341.647023098329,Two year,Credit card,No,Male,0,No,No,Yes,Yes,No,No internet service,Yes,No,No internet service,No internet service,No,Yes,0
26,62,59.54800280316568,606.8471093496298,One year,Mailed check,Yes,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Yes,0
27,47,37.46500654553681,6986.500396088674,Month-to-month,Electronic check,No,Male,0,Yes,No,No,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,No internet service,0
28,62,104.87912527758405,4158.030858511816,Month-to-month,Mailed check,Yes,Female,0,No,Yes,No,No,DSL,No,No internet service,Yes,No,Yes,No,No internet service,0
29,51,49.81948778755988,4746.01869191939,Two year,Electronic check,Yes,Female,0,No,Yes,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No internet service,Yes,0
30,55,79.856435015831,3033.15747582429,Two year,Electronic check,Yes,Male,0,No,No,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,Yes,No,No internet service,0
31,64,70.28430619990868,5391.698313475904,Month-to-month,Credit card,Yes,Female,1,No,Yes,No,No,DSL,No internet service,No internet service,No,Yes,No internet service,No,Yes,0
32,3,25.18820775939922,3511.075713223143,Two year,Electronic check,Yes,Male,1,Yes,Yes,No,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,No internet service,No internet service,0
33,51,114.22337194911663,6114.378818860036,Two year,Electronic check,No,Male,1,No,No,No,No phone service,DSL,No internet service,Yes,No,Yes,No,No internet service,Yes,0
34,7,72.72259782504833,6589.0769337717165,Two year,Credit card,Yes,Female,0,Yes,No,No,No,DSL,Yes,No internet service,No,No internet service,No,No,Yes,0
35,21,52.50576433918153,5407.60798390353,Two year,Bank transfer,Yes,Female,1,Yes,No,No,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,No internet service,0
36,39,35.81265696330682,3981.551391476421,One year,Bank transfer,No,Female,0,No,Yes,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,No,0
37,18,53.852663472683574,6279.927869757598,Two year,Bank transfer,No,Male,1,Yes,Yes,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Yes,0
38,4,22.05116030233895,4004.853960098308,Two year,Bank transfer,Yes,Male,1,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,No,Yes,0
39,60,56.35581553482977,980.9282445195931,One year,Electronic check,Yes,Female,1,No,No,No,Yes,No,No,No internet service,No internet service,No,Yes,No,No internet service,0
40,14,73.14859273045047,1019.087763628439,Two year,Bank transfer,Yes,Female,1,Yes,Yes,No,No,DSL,No,No internet service,Yes,No internet service,No,No,No internet service,0
41,9,107.18662458509448,7593.80680310071,Two year,Bank transfer,No,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,No,0
42,53,88.73744176977976,1787.1477668172213,Month-to-month,Electronic check,No,Female,1,No,No,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Yes,1
43,2,31.15823131332414,6545.807429073613,Month-to-month,Bank transfer,Yes,Female,0,No,Yes,Yes,No,DSL,No,Yes,No,No,No,Yes,Yes,1
44,60,34.77463244379611,2048.9727174727254,Month-to-month,Bank transfer,Yes,Male,0,Yes,Yes,No,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,No,0
45,71,62.812336781837466,3503.162741468849,One year,Mailed check,Yes,Female,0,Yes,Yes,Yes,No phone service,DSL,Yes,Yes,No,No,No,Yes,Yes,0
46,44,39.570775163878785,5274.090085575338,Two year,Bank transfer,No,Male,0,Yes,No,Yes,No,No,No,No internet service,Yes,No,Yes,No,Yes,0
47,8,22.784977758275573,1355.0506658776426,One year,Mailed check,Yes,Male,1,No,Yes,Yes,No,DSL,No,No internet service,Yes,No,No,No,No internet service,0
48,47,100.50148801180703,5924.247258074633,One year,Bank transfer,Yes,Female,1,No,No,No,No,No,No,No,Yes,No,No,No internet service,Yes,0
49,35,21.952257069799412,5550.3124831966525,Two year,Electronic check,Yes,Male,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,No,0
50,36,103.06896051980141,4390.354823935685,Two year,Bank transfer,Yes,Female,1,No,Yes,No,Yes,No,No internet service,No,No,No,No internet service,No internet service,No,0
51,50,34.4103963032966,4570.529072735216,Month-to-month,Credit card,Yes,Male,1,No,Yes,Yes,No,No,No,No,Yes,No internet service,Yes,No,Yes,0
52,4,117.46784108071161,935.5971688205641,Two year,Electronic check,Yes,Male,0,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,No,1
53,2,80.38739118261901,3543.998288437466,One year,Bank transfer,Yes,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No,No,No internet service,No,Yes,No internet service,1
54,6,93.49829716298954,783.9140233252343,Month-to-month,Bank transfer,No,Male,1,Yes,Yes,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes,No internet service,No,1
55,54,31.048362796806487,2532.119999164734,One year,Electronic check,No,Female,1,No,No,No,No phone service,DSL,No internet service,No,Yes,Yes,Yes,Yes,No internet service,0
56,4,106.21040734514801,7212.465914616005,Two year,Credit card,No,Male,1,No,Yes,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Yes,0
57,54,103.91923428715384,4638.813864382857,Month-to-month,Electronic check,No,Female,1,Yes,No,No,No,No,Yes,No,Yes,Yes,No internet service,No,Yes,1
58,63,85.29927315417177,5967.357161406185,Two year,Credit card,No,Female,0,No,Yes,No,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,0
59,18,70.22748645953874,4633.698352269549,Month-to-month,Electronic check,Yes,Male,1,No,No,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,Yes,No,0
